AU,TI,SO,citations WOS,citations all data bases,UT,PM
"MILLER, HI",A MEASURE THEORETICAL SUBSEQUENCE CHARACTERIZATION OF STATISTICAL CONVERGENCE,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,127,131,WOS:A1995QY78600018,
"CASSON, A; JUNGREIS, D",CONVERGENCE GROUPS AND SEIFERT FIBERED 3-MANIFOLDS,INVENTIONES MATHEMATICAE,127,128,WOS:A1994PN50200003,
"KINDERLEHRER, D; PEDREGAL, P",GRADIENT YOUNG MEASURES GENERATED BY SEQUENCES IN SOBOLEV SPACES,JOURNAL OF GEOMETRIC ANALYSIS,127,127,WOS:A1994NN14900004,
"LEIGHTON, FT; MAGGS, BM; RAO, SB",PACKET ROUTING AND JOB-SHOP SCHEDULING IN O(CONGESTION PLUS DILATION) STEPS,COMBINATORICA,127,129,WOS:A1994PG96600005,
"BETHUEL, F",ON THE SINGULAR SET OF STATIONARY HARMONIC MAPS,MANUSCRIPTA MATHEMATICA,127,129,WOS:A1993KU71700008,
"Gatermann, K; Parrilo, PA","Symmetry groups, semidefinite programs, and sums of squares",JOURNAL OF PURE AND APPLIED ALGEBRA,126,126,WOS:000222373000005,
"Waldspurger, JL",THE PLANCHEREL THEOREM FOR p-ADIC GROUPS ACCORDING TO HARISH-CHANDRA,JOURNAL OF THE INSTITUTE OF MATHEMATICS OF JUSSIEU,126,126,WOS:000208519100002,
"Guo, Y",The Vlasov-Poisson-Boltzmann system near Maxwellians,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,126,126,WOS:000177029400002,
"Bauschke, HH; Borwein, JM; Combettes, PL","Essential smoothness, essential strict convexity, and Legendre functions in Banach spaces",COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,126,131,WOS:000172575100007,
"Eklof, PC; Trlifaj, J",How to make Ext vanish,BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,126,132,WOS:000168366900006,
"Gui, CF; Wei, JC",On multiple mixed interior and boundary peak solutions for some singularly perturbed Neumann problems,CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES,126,126,WOS:000086985700004,
"Anderson, GD; Qiu, SL; Vamanamurthy, MK; Vuorinen, M",Generalized elliptic integrals and modular equations,PACIFIC JOURNAL OF MATHEMATICS,126,134,WOS:000084582000001,
"Etingof, P; Schedler, T; Soloviev, A",Set-theoretical solutions to the quantum Yang-Baxter equation,DUKE MATHEMATICAL JOURNAL,126,128,WOS:000083737200001,
"Dipper, R; James, G; Mathas, A",Cyclotomic q-Schur algebras,MATHEMATISCHE ZEITSCHRIFT,126,126,WOS:000077569600001,
"Schmid, P",Subgroups permutable with all Sylow subgroups,JOURNAL OF ALGEBRA,126,143,WOS:000075645000013,
"Wilson, G",Collisions of Calogero-Moser particles and an adelic Grassmannian,INVENTIONES MATHEMATICAE,126,127,WOS:000074342400001,
"Baraket, S; Pacard, F",Construction of singular limits for a semilinear elliptic equation in dimension 2,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,126,127,WOS:000071893700001,
"Voiculescu, D",The analogues of entropy and of Fisher's information measure in free probability theory .3. The absence of Cartan subalgebras,GEOMETRIC AND FUNCTIONAL ANALYSIS,126,130,WOS:A1996TY87500008,
"Bakry, D; Coulhon, T; Ledoux, M; SaloffCoste, L",Sobolev inequalities in disguise,INDIANA UNIVERSITY MATHEMATICS JOURNAL,126,127,WOS:A1995UM42500002,
"ELRIFAI, EA; MORTON, HR",ALGORITHMS FOR POSITIVE BRAIDS,QUARTERLY JOURNAL OF MATHEMATICS,126,132,WOS:A1994QE54800004,
"PARASHAR, SD; CHOUDHARY, B",SEQUENCE-SPACES DEFINED BY ORLICZ FUNCTIONS,INDIAN JOURNAL OF PURE & APPLIED MATHEMATICS,126,131,WOS:A1994NL08500008,
"RADULESCU, F","RANDOM MATRICES, AMALGAMATED FREE-PRODUCTS AND SUBFACTORS OF THE VON-NEUMANN ALGEBRA OF A FREE GROUP, OF NONINTEGER INDEX",INVENTIONES MATHEMATICAE,126,127,WOS:A1994MZ33000007,
"LANGLANDS, R; POULIOT, P; SAINTAUBIN, Y",CONFORMAL-INVARIANCE IN 2-DIMENSIONAL PERCOLATION,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,126,126,WOS:A1994MT89300001,
"BILLEY, SC; JOCKUSCH, W; STANLEY, RP",SOME COMBINATORIAL PROPERTIES OF SCHUBERT POLYNOMIALS,JOURNAL OF ALGEBRAIC COMBINATORICS,126,126,WOS:A1993MM98400002,
"BANASZCZYK, W",NEW BOUNDS IN SOME TRANSFERENCE THEOREMS IN THE GEOMETRY OF NUMBERS,MATHEMATISCHE ANNALEN,126,127,WOS:A1993LU67700005,
"BARTSCH, T",INFINITELY MANY SOLUTIONS OF A SYMMETRICAL DIRICHLET PROBLEM,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,126,136,WOS:A1993LF16500003,
"AHMAD, S",ON THE NONAUTONOMOUS VOLTERRA-LOTKA COMPETITION EQUATIONS,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,126,141,WOS:A1993KG71100029,
"BIGATTI, AM",UPPER-BOUNDS FOR THE BETTI NUMBERS OF A GIVEN HILBERT FUNCTION,COMMUNICATIONS IN ALGEBRA,126,126,WOS:A1993LE11200007,
"CHAZELLE, B",CUTTING HYPERPLANES FOR DIVIDE-AND-CONQUER,DISCRETE & COMPUTATIONAL GEOMETRY,126,126,WOS:A1993KU55500003,
"Ambrosio, L",Lecture notes on optimal transport problems,MATHEMATICAL ASPECTS OF EVOLVING INTERFACES,125,125,WOS:000189449500001,
"Campi, S; Gronchi, P",The L-p-Busemann-Petty centroid inequality,ADVANCES IN MATHEMATICS,125,136,WOS:000175732500004,
"Xu, JC; Zikatanov, L",The method of alternating projections and the method of subspace corrections in Hilbert space,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,125,131,WOS:000175300400002,
"Garcia-Melian, J; Letelier-Albornoz, R; De Lis, JS",Uniqueness and asymptotic behaviour for solutions of semilinear problems with boundary blow-up,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,125,126,WOS:000170397900019,
"Adachi, S; Tanaka, K",Trudinger type inequalities in R-N and their best exponents,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,125,125,WOS:000086675800022,
"Deutsch, E",Dyck path enumeration,DISCRETE MATHEMATICS,125,127,WOS:000081062400012,
"Douglas, MR",Gauge fields and D-branes,JOURNAL OF GEOMETRY AND PHYSICS,125,125,WOS:000077804900002,
"Wang, JY",The existence of positive solutions for the one-dimensional p-Laplacian,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,125,160,WOS:A1997XP81300011,
"Taubes, CH",SW double right arrow Gr from the Seiberg-Witten equations to pseudo-holomorphic curves,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,125,127,WOS:A1996UR14600009,
"Anuradha, V; Hai, DD; Shivaji, R",Existence results for superlinear semipositone BVP's,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,125,165,WOS:A1996UC15600016,
"KURUKLIS, SA",THE ASYMPTOTIC STABILITY OF X(N+1)-AX(N)+BX(N-K)=0,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,125,132,WOS:A1994PX15000001,
"ESKIN, A; MCMULLEN, C","MIXING, COUNTING, AND EQUIDISTRIBUTION IN LIE-GROUPS",DUKE MATHEMATICAL JOURNAL,125,125,WOS:A1993LQ82900008,
"Cegrell, U",The general definition of the complex Monge-Ampere operator,ANNALES DE L INSTITUT FOURIER,124,124,WOS:000222526300007,
"Ostrovska, S",q-Bernstein polynomials and their iterates,JOURNAL OF APPROXIMATION THEORY,124,128,WOS:000184378800006,
"Babakhani, A; Daftardar-Gejji, V",Existence of positive solutions of nonlinear fractional differential equations,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,124,142,WOS:000182274000013,
"Zhang, SQ",Existence of positive solution for some class of nonlinear fractional differential equations,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,124,138,WOS:000182021800011,
"Hirano, Y",On annihilator ideals of a polynomial ring over a noncommutative ring,JOURNAL OF PURE AND APPLIED ALGEBRA,124,141,WOS:000173784700004,
"Ekedahl, T; Lando, S; Shapiro, M; Vainshtein, A",Hurwitz numbers and intersections on moduli spaces of curves,INVENTIONES MATHEMATICAE,124,128,WOS:000172154200003,
"Dujella, A; Petho, A",A generalization of a theorem of Baker and Davenport,QUARTERLY JOURNAL OF MATHEMATICS,124,126,WOS:000075834900003,
"Lyubich, M","Dynamics of quadratic polynomials, I-II",ACTA MATHEMATICA,124,125,WOS:A1997XK40100003,
"Nishihara, K",Convergence rates to nonlinear diffusion waves for solutions of system of hyperbolic conservation laws with damping,JOURNAL OF DIFFERENTIAL EQUATIONS,124,131,WOS:A1996VU03600001,
"Adly, S",Perturbed algorithms and sensitivity analysis for a general class of variational inclusions,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,124,138,WOS:A1996UW95700020,
"Berman, S; Gao, Y; Krylyuk, YS",Quantum tori and the structure of elliptic quasi-simple Lie algebras,JOURNAL OF FUNCTIONAL ANALYSIS,124,136,WOS:A1996TU54800003,
"JeanblancPicque, M; Shiryaev, AN",Optimization of the flow of dividends,RUSSIAN MATHEMATICAL SURVEYS,124,130,WOS:A1995TP57000003,
"EXEL, R","CIRCLE-ACTIONS ON C-ASTERISK-ALGEBRAS, PARTIAL AUTOMORPHISMS, AND A GENERALIZED PIMSNER-VOICULESCU EXACT SEQUENCE",JOURNAL OF FUNCTIONAL ANALYSIS,124,127,WOS:A1994NP26400006,
"BUCKLEY, SM",ESTIMATES FOR OPERATOR NORMS ON WEIGHTED SPACES AND REVERSE JENSEN INEQUALITIES,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,124,127,WOS:A1993MH21200012,
"SCHLOMIUK, D","ALGEBRAIC PARTICULAR INTEGRALS, INTEGRABILITY AND THE PROBLEM OF THE CENTER",TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,124,126,WOS:A1993LU73500016,
"Ozsvath, P; Szabo, Z",Holomorphic disks and three-manifold invariants: Properties and applications,ANNALS OF MATHEMATICS,123,123,WOS:000226771800004,
"Guo, Y",The Boltzmann equation in the whole space,INDIANA UNIVERSITY MATHEMATICS JOURNAL,123,124,WOS:000224787900007,
"Zhang, QS",A blow-up result for a nonlinear wave equation with damping: The critical case,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE I-MATHEMATIQUE,123,130,WOS:000170376200007,
"Lahiri, I",Weighted sharing and uniqueness of meromorphic functions,NAGOYA MATHEMATICAL JOURNAL,123,140,WOS:000167905700009,
"Chen, XX",The space of Kahler metrics,JOURNAL OF DIFFERENTIAL GEOMETRY,123,125,WOS:000172034200001,
"Erdos, L; Yau, HT",Linear Boltzmann equation as the weak coupling limit of a random Schrodinger equation,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,123,123,WOS:000086591300001,
"Coscia, A; Mingione, G",Holder continuity of the gradient of p(x)-harmonic mappings,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE I-MATHEMATIQUE,123,125,WOS:000079344700018,
"Huybrechts, D",Compact hyperkahler manifolds: basic results,INVENTIONES MATHEMATICAE,123,123,WOS:000077841400004,
"Van Daele, A",An algebraic framework for group duality,ADVANCES IN MATHEMATICS,123,123,WOS:000077729600007,
"Alsina, C; Ger, R",On some inequalities and stability results related to the exponential function,JOURNAL OF INEQUALITIES AND APPLICATIONS,123,124,WOS:000077913200005,
"Longo, R; Roberts, JE",A theory of dimension,K-THEORY,123,123,WOS:A1997WW61200001,
"Gupta, CP; Trofimchuk, SI",A sharper condition for the solvability of a three-point second order boundary value problem,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,123,158,WOS:A1997WF45300024,
"Laurent, M; Mignotte, M; Nesterenko, Y",Linear forms in two logarithms and interpolation determinants,JOURNAL OF NUMBER THEORY,123,129,WOS:A1995TN27700009,
"JEFFREY, LC; KIRWAN, FC",LOCALIZATION FOR NONABELIAN GROUP-ACTIONS,TOPOLOGY,123,123,WOS:A1995QL66500003,
"KIRCHHEIM, B",RECTIFIABLE METRIC-SPACES - LOCAL-STRUCTURE AND REGULARITY OF THE HAUSDORFF MEASURE,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,123,127,WOS:A1994NG61200014,
"BOSCH, S; LUTKEBOHMERT, W",FORMAL AND RIGID GEOMETRY .1. RIGID-SPACES,MATHEMATISCHE ANNALEN,123,124,WOS:A1993KN18600007,
"Bahar, A; Mao, XR",Stochastic delay Lotka-Volterra model,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,122,135,WOS:000221110800006,
"Khesin, B; Misiolek, G",Euler equations on homogeneous spaces and Virasoro orbits,ADVANCES IN MATHEMATICS,122,122,WOS:000182766800005,
"Lott, J",Some geometric properties of the Bakry-Emery-Ricci tensor,COMMENTARII MATHEMATICI HELVETICI,122,126,WOS:000186461800012,
"Smets, D; Willem, M; Su, JB",Non-radial ground states for the Henon equation,COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,122,130,WOS:000177774400005,
"Cordier, S; Grenier, E",Quasineutral limit of an Euler-Poisson system arising from plasma physics,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,122,128,WOS:000086860000011,
"Hoffman, ME",Quasi-shuffle products,JOURNAL OF ALGEBRAIC COMBINATORICS,122,123,WOS:000085087500003,
"Seidel, P",Graded Lagrangian submanifolds,BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE,122,123,WOS:000182061300004,
"Coulhon, T; Duong, XT",Riesz transforms for 1 <= p <= 2,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,122,122,WOS:000078563400013,
"Zhang, GY",A positive solution to the Busemann-Petty problem in R-4,ANNALS OF MATHEMATICS,122,134,WOS:000080647700007,
"Andruskiewitsch, N; Schneider, HJ",Lifting of quantum linear spaces and pointed Hopf algebras of order p(3),JOURNAL OF ALGEBRA,122,125,WOS:000077361800010,
"Chen, ZQ; Song, RM",Estimates on Green functions and Poisson kernels for symmetric stable processes,MATHEMATISCHE ANNALEN,122,123,WOS:000077229200005,
"Koskela, P; MacManus, P",Quasiconformal mappings and Sobolev spaces,STUDIA MATHEMATICA,122,122,WOS:000076563900001,
"Harte, R; Lee, WY",Another note on Weyl's theorem,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,122,172,WOS:A1997XB38000022,
"Dong, CY; Mason, G",On quantum Galois theory,DUKE MATHEMATICAL JOURNAL,122,123,WOS:A1997WH31500004,
"Franchi, B; Lanconelli, E; Serrin, J",Existence and uniqueness of nonnegative solutions of quasilinear equations in R(n),ADVANCES IN MATHEMATICS,122,126,WOS:A1996UB99600001,
"JERRUM, M",A VERY SIMPLE ALGORITHM FOR ESTIMATING THE NUMBER OF K-COLORINGS OF A LOW-DEGREE GRAPH,RANDOM STRUCTURES & ALGORITHMS,122,122,WOS:A1995RR71300004,
"HITCHIN, NJ","TWISTOR SPACES, EINSTEIN-METRICS AND ISOMONODROMIC DEFORMATIONS",JOURNAL OF DIFFERENTIAL GEOMETRY,122,125,WOS:A1995RX50800003,
"HUNEKE, CL; SHARP, RY",BASS NUMBERS OF LOCAL COHOMOLOGY MODULES,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,122,122,WOS:A1993MB25400017,
"BENEDICKS, M; YOUNG, LS",SINAI-BOWEN-RUELLE MEASURES FOR CERTAIN HENON MAPS,INVENTIONES MATHEMATICAE,122,123,WOS:A1993LE47800003,
"Chalub, FACC; Markowich, PA; Perthame, B; Schmeiser, C",Kinetic models for chemotaxis and their drift-diffusion limits,MONATSHEFTE FUR MATHEMATIK,121,123,WOS:000221784400011,
"Golse, F; Saint-Raymond, L",The Navier-Stokes limit of the Boltzmann equation for bounded collision kernels,INVENTIONES MATHEMATICAE,121,124,WOS:000186827900005,
"Pucci, P; Serrin, J",The strong maximum principle revisited,JOURNAL OF DIFFERENTIAL EQUATIONS,121,122,WOS:000187622500001,
"Rivera, JEM; Racke, R",Mildly dissipative nonlinear Timoshenko systems - global existence and exponential stability,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,121,121,WOS:000179972600019,
"Szulkin, A; Zou, WM",Homoclinic orbits for asymptotically linear Hamiltonian systems,JOURNAL OF FUNCTIONAL ANALYSIS,121,123,WOS:000172538200002,
"Beretta, E; Hara, T; Ma, WB; Takeuchi, Y",Global asymptotic stability of an SIR epidemic model with distributed time delay,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,121,132,WOS:000171595600047,
"Klawonn, A; Widlund, OB",FETI and Neumann-Neumann iterative substructuring methods: Connections and new results,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,121,121,WOS:000165496800003,
"Esteva, F; Godo, L; Hajek, P; Navara, M",Residuated fuzzy logics with an involutive negation,ARCHIVE FOR MATHEMATICAL LOGIC,121,136,WOS:000085703700003,
"Dehornoy, P; Paris, L","Gaussian groups and Garside groups, two generalisations of Artin groups",PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,121,121,WOS:000083696200004,
"van den Heuvel, J; Leese, RA; Shepherd, MA",Graph labeling and radio channel assignment,JOURNAL OF GRAPH THEORY,121,121,WOS:000077016100005,
"Biler, P; Funaki, T; Woyczynski, WA",Fractal Burgers equations,JOURNAL OF DIFFERENTIAL EQUATIONS,121,125,WOS:000075480400002,
"Hoste, J; Thistlethwaite, M; Weeks, J","The first 1,701,936 knots",MATHEMATICAL INTELLIGENCER,121,119,WOS:000076281700010,
"Feichtinger, HG; Grochenig, K",Gabor frames and time-frequency analysis of distributions,JOURNAL OF FUNCTIONAL ANALYSIS,121,123,WOS:A1997XE51000006,
"Konnov, IV; Yao, JC",On the generalized vector variational inequality problem,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,121,132,WOS:A1997WG22600004,
"PEYRE, E",HEIGHTS AND TAMAGAWA MEASURES ON FANO VARIETIES,DUKE MATHEMATICAL JOURNAL,121,121,WOS:A1995RK77400004,
"ANSARI, SI",HYPERCYCLIC AND CYCLIC VECTORS,JOURNAL OF FUNCTIONAL ANALYSIS,121,122,WOS:A1995QN66400006,
"COSTA, DG; MAGALHAES, CA",VARIATIONAL ELLIPTIC PROBLEMS WHICH ARE NONQUADRATIC AT INFINITY,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,121,140,WOS:A1994PZ09500004,
"ELLIOTT, GA; EVANS, DE",THE STRUCTURE OF THE IRRATIONAL ROTATION C(ASTERISK)-ALGEBRA,ANNALS OF MATHEMATICS,121,122,WOS:A1993ML22700001,
"GOODMAN, TNT; LEE, SL; TANG, WS",WAVELETS IN WANDERING SUBSPACES,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,121,148,WOS:A1993LU73500007,
"Etingof, P; Ostrik, V",FINITE TENSOR CATEGORIES,MOSCOW MATHEMATICAL JOURNAL,120,120,WOS:000208594800006,
"Ginzburg, V; Guay, N; Opdam, E; Rouquier, R",On the category O for rational Cherednik algebras,INVENTIONES MATHEMATICAE,120,120,WOS:000186542300003,
"Griesemer, M; Lieb, EH; Loss, M",Ground states in non-relativistic quantum electrodynamics,INVENTIONES MATHEMATICAE,120,120,WOS:000170878800006,
"Higson, N; Kasparov, G",E-theory and KK-theory for groups which act properly and isometrically on Hilbert space,INVENTIONES MATHEMATICAE,120,120,WOS:000167822900002,
"Takeuchi, Y; Ma, WB; Beretta, E",Global asymptotic properties of a delay SIR epidemic model with finite incubation times,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,120,130,WOS:000089169400001,
"Heckmann, R",Approximation of metric spaces by partial metric spaces,APPLIED CATEGORICAL STRUCTURES,120,125,WOS:000081696800004,
"Geromel, JC; de Oliveira, MC; Hsu, L",LMI characterization of structural and robust stability,LINEAR ALGEBRA AND ITS APPLICATIONS,120,125,WOS:000077061300005,
"Crawley-Boevey, W; Holland, MP",Noncommutative deformations of Kleinian singularities,DUKE MATHEMATICAL JOURNAL,120,121,WOS:000073234500005,
"Dey, TK",Improved bounds for planar k-sets and related problems,DISCRETE & COMPUTATIONAL GEOMETRY,120,120,WOS:000072722900008,
"Chang, SS",On Chidume's open questions and approximate solutions of multivalued strongly accretive mapping equations in Banach spaces,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,120,183,WOS:000071212400007,
"Fan, DS; Pan, YB",Singular integral operators with rough kernels supported by subvarieties,AMERICAN JOURNAL OF MATHEMATICS,120,138,WOS:A1997XP25600004,
"Nakajima, H",Heisenberg algebra and Hilbert schemes of points on projective surfaces,ANNALS OF MATHEMATICS,120,121,WOS:A1997WU83000005,
"Darmon, H; Merel, L",Winding quotients and some variants of Fermat's Last Theorem,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,120,127,WOS:A1997YA05500005,
"BousquetMelou, M",A method for the enumeration of various classes of column-convex polygons,DISCRETE MATHEMATICS,120,120,WOS:A1996UV37200001,
"HALE, JK; HUANG, WZ",GLOBAL GEOMETRY OF THE STABLE REGIONS FOR 2 DELAY-DIFFERENTIAL EQUATIONS,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,120,122,WOS:A1993LZ72300004,
"LI, Y; NI, WM",RADIAL SYMMETRY OF POSITIVE SOLUTIONS OF NONLINEAR ELLIPTIC-EQUATIONS IN R(N),COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,120,129,WOS:A1993LE41000013,
"Fernandez-Cara, E; Guerrero, S; Imanuvilov, OY; Puel, JP",Local exact controllability of the Navier-Stokes system,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,119,119,WOS:000225610300003,
"Li, YY; Nirenberg, L",Estimates for elliptic systems from composite material,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,119,119,WOS:000183387300006,
"Abramovich, D; Corti, A; Vistoli, A",Twisted bundles and admissible covers,COMMUNICATIONS IN ALGEBRA,119,119,WOS:000184561000002,
"Levin, SA","Complex adaptive systems: Exploring the known, the unknown and the unknowable",BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,119,120,WOS:000180136200002,
"Nieto, JJ",Periodic boundary value problems for first-order impulsive ordinary differential equations,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,119,127,WOS:000178298200008,
"Hartwig, RE; Wang, GR; Wei, YM",Some additive results on Drazin inverse,LINEAR ALGEBRA AND ITS APPLICATIONS,119,135,WOS:000166134200012,
"Kirchberg, E; Phillips, NC",Embedding of exact C*-algebras in the Cuntz algebra O-2,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,119,120,WOS:000089278700002,
"Durand, F; Host, B; Skau, C","Substitutional dynamical systems, Bratteli diagrams and dimension groups",ERGODIC THEORY AND DYNAMICAL SYSTEMS,119,119,WOS:000082373700005,
"Desjardins, B; Grenier, E; Lions, PL; Masmoudi, N",Incompressible limit for solutions of the isentropic Navier-Stokes equations with Dirichlet boundary conditions,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,119,120,WOS:000081312100001,
"Yin, JX",Some combinatorial constructions for optical orthogonal codes,DISCRETE MATHEMATICS,119,131,WOS:000072656000014,
"Camporesi, R; Higuchi, A",On the eigenfunctions of the Dirac operator on spheres and real hyperbolic spaces,JOURNAL OF GEOMETRY AND PHYSICS,119,120,WOS:A1996VH02300001,
"Lin, FH",Some dynamical properties of Ginzburg-Landau vortices,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,119,121,WOS:A1996UG65100001,
